foodtype,shopname
火锅,马家斑鱼(横岗店)
日本料理,樱の料理
川菜,好吃客(梅林店)
川菜,缪氏川菜(东园店)
湘菜,粑粑来了(南山店)
日本料理,源烧酒场
川菜,撒椒(海岸城店)
小龙虾,海岛八号
其他,云海肴云南菜(金光华店)
火锅,大龙燚火锅(福田东园店)
日本料理,三千·創作料理(金光华广场店)
其他,70年代-妈妈的味道(西乡彩虹城店...
日本料理,极上萬膳日本料理·铁板烧(中心...
自助餐,平安海鲜自助餐厅
面包甜点,利姆瑞雅
日本料理,焱焱日本料理(太古城店)
西餐,Poké-doke
西餐,沙拉塔(海岸城店)
日本料理,我爱寿司(甲岸店)
韩国料理,韩是汤饭专门店
面包甜点,36 MATCHART(来福士广场店)
川菜,君悦酒店-1881中餐厅
日本料理,吉作刺身
火锅,丽江龙继斑鱼庄(坂田店)
川菜,老房子水岸元年食府(欢乐海岸店)
创意菜,Deli&Leisure悠乐(皇庭广场店)
湘菜,芙蓉楼(常兴店)
新疆菜,莲香西域
粤菜,一日三餐(KKMALL京基店)
江浙菜,外婆家(卓悦汇店)
茶餐厅,翠华餐厅(东海店)
川菜,炭舍(福田卓悦汇店)
烧烤,Kimchi泡菜烤肉店
粤菜,渔米粥(皇岗店)
火锅,汪蜀老火锅(车公庙店)
茶餐厅,港丽餐厅(皇庭广场店)
川菜,缪氏川菜(湖贝路店)
川菜,探鱼(东门店)
火锅,小龙坎老火锅(南山店)
烧烤,白玉串城
日本料理,大阪日本料理店(海燕店)
其他,皖厨(海上世界店)
粤菜,仙庙烧鸡(固戍一路店)
川菜,缪氏川菜(蛇口店)
面包甜点,美艺甜(阿里中心PLUS店)
西餐,MET Restaurant & Bar
湘菜,爱碗亭精致湖南菜(龙华ico店)
火锅,小龙坎老火锅(福田店)
自助餐,摩登克斯无国界海鲜自助餐厅
川菜,巴蜀风月(cocopark店)
西餐,法意味道Fine Taste
湘菜,山里人湖南大碗菜(蛇口店)
火锅,优客香鹅掌(南山总店)
东南亚菜,泰炙美见 · 新加坡料理｜long t...
西餐,乐凯撒·榴莲比萨(喜荟城店)
面包甜点,卢金枝(南山店)
火锅,果林椰子鸡(宝安总店)
日本料理,雷门拉面(星河COCO City店)
烧烤,八零九零碳烤肥牛(南山店)
自助餐,丽思卡尔顿酒店Flavorz全日制餐...
茶餐厅,大有利茶餐厅(福民店)
火锅,二八火锅菜馆(皇岗店)
日本料理,大阪烧肉双子(南山店)
面包甜点,赵记传承
粤菜,凤凰楼能记食坊(天虹宝安店)
海鲜,迎客春蒸汽桑拿海鲜餐厅(布吉店)
江浙菜,西湖春天(深国投广场店)
海鲜,胖哥俩肉蟹煲(沙井京基百纳店)
西餐,斗牛士牛排餐厅(龙华店)
粤菜,揭阳钟记小食
川菜,缪氏川菜(梅林店)
海鲜,煮海(南山华侨城店)
粤菜,在春天.音乐花园餐厅
西北菜,面否(车公庙店)
烧烤,青春烤肉韩国料理
茶餐厅,三哥茶餐厅(华强北店)
日本料理,心烧居酒屋
粤菜,春梅里潮汕卤鹅
韩国料理,青瓦台韩式烤肉
西餐,Bus Grill 巴士扒房－土耳其烤肉
面包甜点,36 MATCHART(皇庭广场店)
烧烤,木屋烧烤(东滨路店)
粤菜,常回家(民康路店)
川菜,派对2.0(海岸城店)
火锅,食途(保利文化广场店)
火锅,润园四季椰子鸡(KK Mall店)
川菜,华神龙火锅(车公庙店)
川菜,巴蜀风月(海岸城店)
茶餐厅,壹間茶餐厅(海岸城店)
火锅,重庆叙知香美蛙鱼头火锅
日本料理,海之恋寿司(石厦店)
川菜,遇上妮的鱼
东南亚菜,尚莲
面包甜点,哟部落美食甜品
东南亚菜,印象清迈(海岸城店)
东南亚菜,Mr.ASIA象遇东南亚料理(笋岗店)
西餐,OH MY EGGISH CAFE(汇港购物中心...
其他,桂小厨(九方购物中心店)
川菜,老房子水岸风情食府(海上世界店)
火锅,老佛爷炭火蛙锅(八卦岭店)
粤菜,日日香鹅肉饭店(海岸城店)
火锅,顺德公猪肚鸡(沙尾店)
湘菜,李师傅脆肚(西乡店)
江浙菜,六千馆(梅林店)
火锅,大龙燚火锅(南山大道店)
小龙虾,呆呆虾(南山店)
韩国料理,本家韩国料理(欢乐海岸店)
西餐,宝狮杂碎小食馆
粤菜,粤菜王府(大梅沙店)
粤菜,渔米粥(罗湖店)
火锅,好牛道牛肉火锅(西丽店)
东南亚菜,LUNAVALA CAFE鲁士餐厅
川菜,浅葱小唱(科技园店)
火锅,潮味壹品汕头牛肉火锅(宝源店)
西北菜,秦小月
面包甜点,Teabank
面包甜点,1点点(丰盛町店)
创意菜,朝馆· 烤鸭创意北京菜
烧烤,三多家韩国料理(国贸店)
其他,杏花堂山西菜馆
粤菜,海月百味馆(南山店)
粤菜,海苑酒家
西餐,EO蔬果料理(华强北店)
火锅,四季椰林椰子鸡(南山京基百纳广...
素菜,云来居素食馆(南山店)
面包甜点,Dreamiya
烧烤,木屋烧烤(东角头店)
粤菜,君悦酒店-主席楼
火锅,米斯泰风情音乐餐吧
粤菜,仙庙烧鸡(民治总店)
烧烤,天台上见烧烤(南新路店)
西餐,速度披萨(东海店)
西餐,王品牛排(深圳海雅缤纷城店)
西餐,TheRawAcademics原研(皇庭广场店...
其他,中发源清真餐厅(南油店)
江浙菜,西湖春天(喜荟城店)
江浙菜,绿茶(世纪汇店)
素菜,格琳素席
面包甜点,喜茶(来福士广场店)
日本料理,堂小鍋·日式鍋物料理(九方店)
川菜,缪氏川菜(龙平店)
火锅,常润椰子鸡(网谷店)
面包甜点,燕熙亭(深圳总店)
湘菜,望湘园(深圳海雅店)
烧烤,木屋烧烤(园博园店)
小龙虾,龙巢盱眙龙虾(南山店)
日本料理,KYOKU日本料理(欢乐海岸店)
火锅,鱼乐飞(京基滨河时代店)
日本料理,堂本家日式炸猪排专卖店(益田店)
西餐,乐凯撒·榴莲比萨(中心书城店)
川菜,喵鱼派对
火锅,邂逅椰子鸡
火锅,馨苑乌记汕头牛肉火锅(深圳宝安...
火锅,深湖记·潮牛火锅(中心书城店)
面包甜点,奈雪の茶(海岸城店)
小龙虾,帅帅虾王·湖北菜
创意菜,Deli&Leisure悠乐(卓悦汇店)
川菜,董姐锦里耗儿鱼
火锅,马家斑鱼(民治优城店)
火锅,很2牛杂火锅(东门店)
咖啡厅,Ramble Tree Coffee
日本料理,一乐食堂
东北菜,胖小厨
面包甜点,喜茶(绿景虹湾店)
茶餐厅,香港食神车仔面(海岸城店)
日本料理,臻泰牛日式原味烧肉料理
粤菜,汤巢(振业星海商业广场店)
粤菜,美极鲜食坊
日本料理,荞上人活鰻日本料理
江浙菜,六千馆(泰然店)
小吃快餐,冰村食坊煲仔粥(梅林居店)
火锅,潮汕大目牛肉火锅城(皇岗旗舰店)
川菜,探鱼(海岸城店)
面包甜点,幸福西饼生日蛋糕(布心店)
西餐,侯斯顿主题餐吧(深圳店)
粤菜,春满园(欢乐海岸店)
日本料理,寿司大(宝安店)
川菜,谋面
西餐,San Marco圣马可意大利西餐厅(星...
东南亚菜,鑫泰泰国料理(卓悦汇店)
素菜,若蘭慈素食馆
火锅,石螺鸡(保利文化广场店)
川菜,探炉烤鱼(喜荟城店)
川菜,川婆婆酸菜鱼(海雅缤纷城店)
西餐,CC MOMENT电影主题餐厅(海岸城店...
火锅,九号码头花胶主题火锅料理(皇庭...
面包甜点,喜荟萃(景田店)
川菜,禄鼎记(来福士店)
湘菜,老字号鑫金顺餐厅
粤菜,常回家(坂田店)
海鲜,海极鲜蒸汽美食坊(皇岗店)
小龙虾,探虾(购物公园店)
其他,桂小厨(金光华店)
烧烤,天台上见烧烤(白石洲店)
湘菜,舌堂(梅林店)
日本料理,Reiko居酒屋
川菜,探鱼(龙华九方店)
日本料理,米彩料理寿司(学府店)
火锅,老佛爷炭火蛙锅(东门中心城店)
西餐,恩典榴莲披萨
江浙菜,浙礼(天利店)
粤菜,苏丝黄(福田购物店)
日本料理,鲑鱼工坊(卓悦汇店)
川菜,姚姚爱鱼 | 姚酸菜鱼(中心城店)
小龙虾,辣海兽·川味辣卤海鲜餐厅
湘菜,青庭·本味湘菜(蛇口店)
日本料理,海之恋寿司(海岸城店)
自助餐,万德诺富特酒店自助西餐厅
烧烤,LAL撸阿撸烧烤吧(南山枫叶店)
面包甜点,K.STRAWBERRY黑草莓
湘菜,李师傅脆肚(下梅林店)
西餐,pupu乐(CoCo City店)
川菜,缪氏川菜(沙井店)
川菜,浅葱小唱(校友汇店)
粤菜,唐宫海鲜舫(彩德店)
川菜,缪氏川菜(南山店)
西北菜,十三羊蒙古羊排店(梅林店)
烧烤,GOGIYA韩国传统烤肉店(清湖地铁...
川菜,缪氏川菜(泰然店)
东南亚菜,美奈小馆 ·  越南料理(COCO PAR...
西北菜,十三羊蒙古羊排店(星海店)
新疆菜,大拌新疆餐厅(海岸城店)
日本料理,万福炭火居酒屋
日本料理,丸道烧肉まるみち
自助餐,希尔顿逸林酒店開海鲜自助餐厅
日本料理,三千·創作料理(南山京基百纳广...
海鲜,胖哥俩肉蟹煲(华强北茂业店)
川菜,探鱼(福田CoCoPark)
火锅,蛙来哒炭烧牛蛙(京基滨河时代店)
小吃快餐,兵哥豌豆面(深圳总店)
日本料理,原烧堂居酒屋
川菜,炭舍(龙华COCO City店)
东南亚菜,暹罗泰(皇庭店)
粤菜,（鹅尊）汕头苏南鹅肉饭店(金光...
川菜,酸渡老坛子酸菜鱼(东门店)
火锅,原牛道牛肉火锅(海王银河店)
湘菜,李师傅脆肚(春风路店)
其他,云海肴云南菜(福田九方店)
日本料理,堂本家日式炸猪排专卖店(KKMALL...
川菜,炭舍(罗湖金光华店)
火锅,奢牛潮汕牛肉火锅
咖啡厅,漫咖啡(1979店)
川菜,蛙来哒炭烧牛蛙(中心城店)
面包甜点,喜茶(益田假日广场店)
西北菜,爱家味烤羊排(海岸城店)
粤菜,海皇渔港
咖啡厅,Seesaw Coffee
面包甜点,糖家SugarPlus
火锅,花椒遇见辣椒(喜荟城店)
湘菜,粑粑来了(福田店)
西餐,Mr  Nice 好好先生餐厅(南山来福...
海鲜,79号渔船海鲜主题饭店(宝丰店)
小吃快餐,来到普宁肠粉
小龙虾,松哥油焖大虾(欢乐海岸店)
火锅,跳墙(天利名城店)
火锅,华神龙火锅(八卦岭店)
江浙菜,外婆家(深圳KKMALL店)
茶餐厅,香港新发烧腊茶餐厅(春风路店)
粤菜,金翠皇宫
日本料理,堂小锅(KKMALL店)
川菜,胡桃里音乐酒馆(香蜜湖1979店)
粤菜,唐宫小聚(东海缤纷店)
粤菜,悦景酒家
小龙虾,虾胡闹
私房菜,十田味舍
日本料理,米馥寿司(水围店)
粤菜,尚顶香鹅肉饭店(卓悦汇店)
西餐,杜鹃dogreen
川菜,唐炉四两重口味四川料理
火锅,椰园四季椰子鸡火锅店
日本料理,米彩料理寿司(西丽店)
日本料理,TOKU拓谷日式料理餐吧
自助餐,香格里拉大酒店香咖啡自助餐厅
火锅,汕头八合里海记牛肉店(春风店)
面包甜点,壹点壹客(南山站点)
川菜,卡萨布兰卡私房川菜(华强北总店)
火锅,润园四季椰子鸡(香蜜湖店)
西餐,必胜客(新海上世界店)
小龙虾,松哥油焖大虾(华为店)
粤菜,蝴蝶梦音乐餐厅(罗湖店)
面包甜点,壹点壹客(总部)
面包甜点,Rico御果甘草水果
粤菜,帮煮-精品粤菜
湘菜,俏九州(COCO Park店)
日本料理,三千·創作料理(怡景中心城店)
